representation,clustering_method,seed,params,clustering_time_s,error,n_clusters,noise_count,noise_ratio,silhouette,calinski_harabasz,davies_bouldin,bic,aic,inertia,silhouette_all,calinski_harabasz_all,davies_bouldin_all
tfidf,dbscan,42,"{""eps"": 0.425808, ""metric"": ""euclidean"", ""min_samples"": 5}",7.032,,673,4830,0.0966,0.9220589995384216,150384.03541957293,0.1917572798489874,,,,0.7578110098838806,373.43228320662087,1.0468159604922165
tfidf,dbscan,42,"{""eps"": 0.959152, ""metric"": ""euclidean"", ""min_samples"": 10}",8.392,,315,4949,0.09898,0.9237567186355592,50337.25704680483,0.232494313416909,,,,0.7657709121704102,728.0434456229156,1.0689654042201675
tfidf,dbscan,42,"{""eps"": 1.538921, ""metric"": ""euclidean"", ""min_samples"": 5}",8.803,,493,2341,0.04682,0.8841471672058105,13707.446492276267,0.2967608735486579,,,,0.8151298761367798,1028.74967517017,1.06635096681073
tfidf,dbscan,42,"{""eps"": 2.45785, ""metric"": ""euclidean"", ""min_samples"": 10}",10.351,,250,2241,0.04482,0.8363861441612244,6031.853016789686,0.4494413798952353,,,,0.7714870572090149,1534.1181436695756,1.108458468764589
tfidf,dbscan,42,"{""eps"": 2.753049, ""metric"": ""euclidean"", ""min_samples"": 5}",9.993,,324,1081,0.02162,0.6940913796424866,1549.6483188553093,0.6906311717783017,,,,0.6647132635116577,1058.6158467868026,1.1343213871052475
tfidf,dbscan,42,"{""eps"": 3.779555, ""metric"": ""euclidean"", ""min_samples"": 10}",12.165,,138,910,0.0182,0.4487612843513489,968.4939383854364,0.7936500705121283,,,,0.4310554265975952,851.2389959830258,1.1729127655654754
tfidf,hdbscan,42,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 15, ""min_samples"": null}",75.359,,367,5336,0.10672,0.9321172833442688,18197.630034795733,0.3970752250110873,,,,0.7582345604896545,665.5650236413989,1.0482939992628564
tfidf,hdbscan,42,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 30, ""min_samples"": null}",75.707,,190,6310,0.1262,0.927796185016632,17432.920127347796,0.3784313842189671,,,,0.7297924757003784,918.8978531987332,1.1239328395014223
tfidf,hdbscan,42,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 50, ""min_samples"": null}",76.555,,119,5750,0.115,0.9130975604057312,13966.489969335884,0.40716737326914,,,,0.7476943135261536,1487.31251305073,1.2111668419820694
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 10, ""reg_covar"": 0.0001}",0.69,,10,0,0.0,0.1784602105617523,1217.7380990683082,2.982687990501581,-3436433.0921510668,-3445332.248440037,,,,
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 10, ""reg_covar"": 0.001}",0.722,,10,0,0.0,0.1787405014038086,1222.2569796282764,2.977596563379767,-2039143.9646236675,-2048043.120912637,,,,
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 10, ""reg_covar"": 1e-05}",0.631,,10,0,0.0,0.1782606691122055,1213.1432005080248,2.988263319429881,-4158876.148382592,-4167775.304671561,,,,
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 10, ""reg_covar"": 1e-06}",0.645,,10,0,0.0,0.1781648695468902,1212.286710676553,2.989484653484288,-4384573.064633434,-4393472.220922404,,,,
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 100, ""reg_covar"": 0.0001}",5.218,,100,0,0.0,0.7360559701919556,2600.065896900096,1.4606978688008994,-11419691.615790728,-11508762.556684986,,,,
